event,participant,success,unix_ms,bjt,extra
"recording_start","610FullTrialTest",1,1781099370625,"2026-06-10T21:49:30.625+08:00","pid=19288 file=../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/610FullTrialTest_20260610_214930_screen.mkv ffmpeg=D:\Tools\ffmpeg\bin\ffmpeg.exe args=-y -f gdigrab -framerate 15 -draw_mouse 0 -offset_x 0 -offset_y 0 -video_size 1920x1080 -i desktop -c:v libx264 -preset ultrafast -crf 30 -pix_fmt yuv420p ""../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/610FullTrialTest_20260610_214930_screen.mkv"" mode=window_title title=Gallery 预览 [NetMode: Standalone 0]  （64-bit/PC D3D SM6） recording_start_world_sec=385.355347 recording_start_unix_ms=1781099370071 recording_start_bjt=2026-06-10T21:49:30.071+08:00"
"recording_stop","NA",1,1781099868297,"2026-06-10T21:57:48.297+08:00","was_running=1 graceful_q=1 forced=0 waited_ms=100 file=../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/610FullTrialTest_20260610_214930_screen.mkv size_bytes=93125183"
"recording_start","BAOItest",1,1781172176866,"2026-06-11T18:02:56.866+08:00","pid=26852 file=../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/BAOItest_20260611_180256_screen.mkv ffmpeg=D:\Tools\ffmpeg\bin\ffmpeg.exe args=-y -f gdigrab -framerate 15 -draw_mouse 0 -offset_x 0 -offset_y 0 -video_size 1920x1080 -i desktop -c:v libx264 -preset ultrafast -crf 30 -pix_fmt yuv420p ""../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/BAOItest_20260611_180256_screen.mkv"" mode=window_title title=Gallery 预览 [NetMode: Standalone 0]  （64-bit/PC D3D SM6） recording_start_world_sec=10.966372 recording_start_unix_ms=1781172176303 recording_start_bjt=2026-06-11T18:02:56.303+08:00"
"recording_stop","NA",1,1781172201115,"2026-06-11T18:03:21.115+08:00","was_running=1 graceful_q=1 forced=0 waited_ms=152 file=../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/BAOItest_20260611_180256_screen.mkv size_bytes=573857"
"recording_start","BAOIV2",1,1781172394545,"2026-06-11T18:06:34.545+08:00","pid=35488 file=../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/BAOIV2_20260611_180634_screen.mkv ffmpeg=D:\Tools\ffmpeg\bin\ffmpeg.exe args=-y -f gdigrab -framerate 15 -draw_mouse 0 -offset_x 3456 -offset_y -262 -video_size 1920x1080 -i desktop -c:v libx264 -preset ultrafast -crf 30 -pix_fmt yuv420p ""../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/BAOIV2_20260611_180634_screen.mkv"" mode=window_title title=Gallery 预览 [NetMode: Standalone 0]  （64-bit/PC D3D SM6） recording_start_world_sec=11.575227 recording_start_unix_ms=1781172394535 recording_start_bjt=2026-06-11T18:06:34.535+08:00"
"recording_stop","NA",1,1781172415118,"2026-06-11T18:06:55.118+08:00","was_running=1 graceful_q=1 forced=0 waited_ms=202 file=../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/BAOIV2_20260611_180634_screen.mkv size_bytes=5789537"
"recording_start","BAOItestV3",1,1781172630144,"2026-06-11T18:10:30.144+08:00","pid=28740 file=../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/BAOItestV3_20260611_181030_screen.mkv ffmpeg=D:\Tools\ffmpeg\bin\ffmpeg.exe args=-y -f gdigrab -framerate 15 -draw_mouse 0 -offset_x 3456 -offset_y -262 -video_size 1920x1080 -i desktop -c:v libx264 -preset ultrafast -crf 30 -pix_fmt yuv420p ""../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/BAOItestV3_20260611_181030_screen.mkv"" mode=window_title title=Gallery 预览 [NetMode: Standalone 0]  （64-bit/PC D3D SM6） recording_start_world_sec=13.362742 recording_start_unix_ms=1781172630131 recording_start_bjt=2026-06-11T18:10:30.131+08:00"
"recording_stop","NA",1,1781172649831,"2026-06-11T18:10:49.831+08:00","was_running=1 graceful_q=1 forced=0 waited_ms=151 file=../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/BAOItestV3_20260611_181030_screen.mkv size_bytes=5111146"
"recording_start","BAOIV4",1,1781173671103,"2026-06-11T18:27:51.103+08:00","pid=20416 file=../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/BAOIV4_20260611_182750_screen.mkv ffmpeg=D:\Tools\ffmpeg\bin\ffmpeg.exe args=-y -f gdigrab -framerate 15 -draw_mouse 0 -offset_x 3456 -offset_y -262 -video_size 1920x1080 -i desktop -c:v libx264 -preset ultrafast -crf 30 -pix_fmt yuv420p ""../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/BAOIV4_20260611_182750_screen.mkv"" mode=window_title title=Gallery 预览 [NetMode: Standalone 0]  （64-bit/PC D3D SM6） recording_start_world_sec=13.385123 recording_start_unix_ms=1781173670527 recording_start_bjt=2026-06-11T18:27:50.527+08:00"
"recording_stop","NA",1,1781173690204,"2026-06-11T18:28:10.204+08:00","was_running=1 graceful_q=1 forced=0 waited_ms=100 file=../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/BAOIV4_20260611_182750_screen.mkv size_bytes=4883644"
